#EffectorID Species Value1  Value2
effector_0	species_0	58.8	35.4
effector_0	species_1	69.0	36.7
effector_0	species_2	68.4	83.0
effector_0	species_3	75.0	4.1
effector_0	species_4	94.7	67.8
effector_0	species_5	19.8	6.3
effector_0	species_6	40.1	65.4
effector_0	species_7	8.0	12.3
effector_0	species_8	5.3	44.5
effector_0	species_9	54.7	42.9
effector_0	species_10	10.7	12.6
effector_0	species_11	26.3	48.9
effector_0	species_12	39.7	92.2
effector_0	species_13	41.1	59.5
effector_0	species_14	68.3	3.4
effector_0	species_15	40.6	77.7
effector_0	species_16	35.4	91.3
effector_0	species_17	39.5	66.5
effector_0	species_18	25.3	66.0
effector_0	species_19	33.0	29.3
effector_0	species_20	94.7	51.6
effector_0	species_21	63.6	12.0
effector_0	species_22	3.1	36.8
effector_0	species_23	21.3	59.4
effector_0	species_24	9.8	47.8
effector_0	species_25	0.3	27.2
effector_0	species_26	54.5	12.4
effector_0	species_27	45.2	45.4
effector_0	species_28	9.2	9.8
effector_0	species_29	44.5	66.8
effector_0	species_30	58.9	43.9
effector_0	species_31	34.7	0.6
effector_0	species_32	24.4	19.2
effector_0	species_33	17.1	66.2
effector_0	species_34	57.5	62.8
effector_0	species_35	89.4	74.6
effector_0	species_36	62.2	17.9
effector_0	species_37	46.9	11.6
effector_0	species_38	97.1	32.9
effector_1	species_0	59.7	33.7
effector_1	species_1	46.0	25.9
effector_1	species_2	39.4	88.0
effector_1	species_3	95.0	99.7
effector_1	species_4	62.3	9.1
effector_1	species_5	41.8	73.1
effector_1	species_6	94.5	55.4
effector_1	species_7	67.3	57.9
effector_1	species_8	85.5	2.8
effector_1	species_9	90.9	6.5
effector_1	species_10	55.8	73.7
effector_1	species_11	60.4	24.6
effector_1	species_12	28.8	42.3
effector_1	species_13	53.6	73.0
effector_1	species_14	80.1	48.4
effector_1	species_15	91.4	70.1
effector_1	species_16	53.3	24.1
effector_1	species_17	16.3	85.5
effector_1	species_18	46.6	99.9
effector_1	species_19	26.3	83.5
effector_1	species_20	85.8	76.1
effector_1	species_21	41.1	97.0
effector_1	species_22	62.5	81.2
effector_1	species_23	98.7	60.0
effector_1	species_24	76.3	57.5
effector_1	species_25	72.0	95.7
effector_1	species_26	20.6	30.2
effector_1	species_27	55.1	45.4
effector_1	species_28	36.9	95.9
effector_1	species_29	16.7	68.3
effector_1	species_30	59.5	64.9
effector_1	species_31	64.3	83.8
effector_1	species_32	38.2	3.2
effector_1	species_33	93.5	43.9
effector_1	species_34	43.1	11.3
effector_1	species_35	0.2	7.2
effector_1	species_36	90.5	45.8
effector_1	species_37	81.5	39.1
effector_1	species_38	18.5	27.5
effector_2	species_0	44.9	35.0
effector_2	species_1	84.2	70.4
effector_2	species_2	45.7	3.5
effector_2	species_3	70.9	79.6
effector_2	species_4	95.5	27.0
effector_2	species_5	60.9	5.0
effector_2	species_6	48.0	41.4
effector_2	species_7	78.4	99.2
effector_2	species_8	26.9	35.3
effector_2	species_9	20.0	89.1
effector_2	species_10	37.5	28.8
effector_2	species_11	38.0	39.5
effector_2	species_12	85.7	2.7
effector_2	species_13	81.2	88.4
effector_2	species_14	67.6	22.1
effector_2	species_15	54.7	76.3
effector_2	species_16	17.3	75.9
effector_2	species_17	39.3	37.3
effector_2	species_18	20.1	60.0
effector_2	species_19	92.8	36.4
effector_2	species_20	88.1	68.0
effector_2	species_21	8.3	30.9
effector_2	species_22	66.4	93.7
effector_2	species_23	20.8	35.1
effector_2	species_24	67.7	35.6
effector_2	species_25	97.2	33.8
effector_2	species_26	92.2	15.6
effector_2	species_27	75.0	14.0
effector_2	species_28	96.5	68.8
effector_2	species_29	65.5	3.3
effector_2	species_30	32.3	90.6
effector_2	species_31	34.8	9.5
effector_2	species_32	90.1	57.0
effector_2	species_33	73.7	49.6
effector_2	species_34	42.5	89.7
effector_2	species_35	93.7	11.6
effector_2	species_36	46.4	96.8
effector_2	species_37	27.3	89.0
effector_2	species_38	99.3	31.2
effector_3	species_0	50.6	13.3
effector_3	species_1	69.8	7.3
effector_3	species_2	59.5	61.8
effector_3	species_3	58.5	94.9
effector_3	species_4	29.7	78.8
effector_3	species_5	3.4	23.1
effector_3	species_6	97.8	60.0
effector_3	species_7	66.8	51.5
effector_3	species_8	71.0	64.9
effector_3	species_9	75.8	7.9
